clause_text,clause_type,document_type,risk_label,legal_basis,jurisdiction
"As per the terms of this Agreement, the Employer may withhold or delay salary payment of Rs. 100000/- without prior communication to the staff member.",Salary,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"In accordance with this Agreement, the monthly rent of Rs. 10000/- shall be paid in advance on or before the 1st of each month.",Rent Payment,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Subject to the terms herein, the security deposit of Rs. 20000/- shall be forfeited entirely if the resident vacates before 24 months.",Security Deposit,Hostel/PG Agreement,Risky,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Under this clause, repayment terms of 6 months are subject to change by the financial institution with reasonable notice.",Repayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, the financial institution agrees to disburse a loan amount of Rs. 3000000/- to the Borrower as per the agreed schedule.",Loan Amount,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"It is hereby agreed that the notice period for termination shall be 15 days, extendable at the discretion of the Lessor.",Notice Period,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
It is hereby agreed that minor repairs up to Rs. 2500/- shall be borne by the occupant; major repairs shall be borne by the Landlord.,Repairs,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, confidentiality obligations of the appointee shall survive termination for a period of 60 months.",Confidentiality,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"It is hereby agreed that refunds shall be processed within 30 days, subject to deduction of processing charges.",Refund Policy,Consumer Agreement,Caution,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Under this clause, the Lessee shall bear all utility charges including any arrears left unpaid by previous occupants.",Utilities,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Subject to the terms herein, notice period of 30 days applies, but management may waive it at their discretion.",Notice Period,Hostel/PG Agreement,Caution,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Subject to the terms herein, orders may be cancelled free of charge within 10 days of placing the order.",Cancellation,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Subject to the terms herein, the Company may revise the code of conduct from time to time and the Employee shall be bound by such revisions.",Code of Conduct,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"It is hereby agreed that notice period of 90 days applies, but management may waive it at their discretion.",Notice Period,Hostel/PG Agreement,Caution,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"In accordance with this Agreement, delivery shall be completed within 15 days of order confirmation, with tracking provided.",Delivery,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Under this clause, a full refund shall be issued within 60 days if the product/service is defective or not as described.",Refund Policy,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"Under this clause, the appointee may raise grievances through the internal committee, which shall respond within 20 days.",Grievance Redressal,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
Late payment shall attract a compounding penalty of 8% per day with no grace period.,Late Payment,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
"Under this clause, the security deposit of Rs. 10000/- shall be refunded within 90 days, subject to inspection by the Landlord.",Security Deposit,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, the Lender may reduce or withhold the sanctioned loan amount of Rs. 3000000/- at any time without explanation.",Loan Amount,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
"Under this clause, this Agreement may be terminated by the property owner on breach of any term, subject to a 90-day cure period.",Termination,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"For the purposes of this Agreement, the loan recipient shall repay the loan in equal monthly instalments over 60 months as per the agreed schedule.",Repayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"Under this clause, prepayment before 11 months shall attract a charge of 10% of the outstanding amount.",Prepayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, repayment terms of 3 months are subject to change by the Bank with reasonable notice.",Repayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
Prepayment before 6 months shall attract a charge of 10% of the outstanding amount.,Prepayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
It is hereby agreed that a grace period of 90 days shall be allowed for rent payment before any late fee applies.,Late Payment Penalty,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
Salary of Rs. 60000/- is subject to annual review and may be revised at the discretion of the Company.,Salary,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, the staff member shall be on probation for 24 months, following which confirmation shall be communicated in writing.",Probation,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"For the purposes of this Agreement, in case of default, the loan recipient shall be given 15 days to cure the default before further action.",Default,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, this Agreement may be renewed for a further term of 9 months upon mutual written consent at the same rent.",Renewal,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"In accordance with this Agreement, in case of default, the applicant shall be given 15 days to cure the default before further action.",Default,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, in case of default, the loan recipient shall be given 45 days to cure the default before further action.",Default,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the notice period for termination shall be 30 days, extendable at the discretion of the Lessor.",Notice Period,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The Employee shall comply with all company policies relating to training. Clause 457.,Training,Employment Agreement,Safe,"Indian Contract Act, 1872",India
The rent of Rs. 30000/- may be revised by the Landlord after 36 months with prior written intimation.,Rent Payment,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"It is hereby agreed that delivery shall be completed within 20 days of order confirmation, with tracking provided.",Delivery,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"For the purposes of this Agreement, the product carries a warranty of 36 months covering manufacturing defects.",Warranty,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
The management may increase rent at any time without notice or justification.,Rent Payment,Hostel/PG Agreement,Risky,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"For the purposes of this Agreement, the Landlord shall be responsible for all major structural repairs including roof, walls, plumbing, and electrical systems.",Maintenance,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, the Borrower shall repay the loan in equal monthly instalments over 11 months as per the agreed schedule.",Repayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"Under this clause, the financial institution agrees to disburse a loan amount of Rs. 100000/- to the applicant as per the agreed schedule.",Loan Amount,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the appointment of the Employee is subject to verification of documents and may be revised by the Company.",Appointment,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"In accordance with this Agreement, the Lessee shall pay a security deposit of Rs. 25000/- which shall be refunded within 7 days of vacating the premises, subject to deduction for damages beyond normal wear and tear.",Security Deposit,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, delivery shall be completed within 7 days of order confirmation, with tracking provided.",Delivery,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"In accordance with this Agreement, the probation period of 3 months may be extended by the Company based on performance review.",Probation,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, the financial institution may revise the interest rate from 15% where permitted by applicable RBI guidelines.",Interest Rate,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"For the purposes of this Agreement, the financial institution may impose penalty charges at sole discretion, with no disclosed cap or formula.",Penalty,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
The borrower's credit score shall not be negatively reported to credit bureaus without giving the borrower opportunity to respond.,Credit Reporting,Loan Agreement,Safe,RBI Guidelines / Consumer Protection Act 2019 / SARFAESI Act 2002 / Indian Contract Act 1872,India
"In accordance with this Agreement, the Employer may terminate the Employee with immediate effect and without notice or severance, at sole discretion.",Termination,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Under this clause, late payment beyond 10 days shall attract a charge of 1.5% per month on the overdue amount.",Late Payment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Pursuant to this Agreement, confidentiality obligations of the Employee shall survive termination for a period of 12 months.",Confidentiality,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"It is hereby agreed that the staff member shall be entitled to 10 days of paid leave per year, as per applicable labour law.",Leave,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"In accordance with this Agreement, minor repairs up to Rs. 5000/- shall be borne by the occupant; major repairs shall be borne by the Landlord.",Repairs,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The probation period of 6 months may be extended by the management based on performance review.,Probation,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
The Lender may revise conditions relating to governing law where permitted by law. Clause 302.,Governing Law,Loan Agreement,Caution,"Indian Contract Act, 1872",India
"Under this clause, the collateral pledged shall be released within 7 days of full repayment of the loan.",Collateral,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the Employee agrees not to join a direct competitor in the same role for 36 months post-employment within the same city.",Non-Compete,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Under this clause, the security deposit of Rs. 15000/- paid by the Tenant shall be non-refundable under any circumstances.",Security Deposit,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Pursuant to this Agreement, the monthly rent of Rs. 35000/- shall be paid in advance on or before the 1st of each month.",Rent Payment,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
Both parties agree to follow applicable requirements regarding cross default. Clause 31.,Cross Default,Loan Agreement,Safe,"Indian Contract Act, 1872",India
"As per the terms of this Agreement, the monthly rent of Rs. 15000/- shall be paid by the Tenant to the property owner on or before the 5th day of each calendar month.",Rent Payment,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"For the purposes of this Agreement, default on 1.5 consecutive EMIs may trigger recovery proceedings under applicable law.",Default,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"For the purposes of this Agreement, the property owner may impose any renewal terms unilaterally, including rent increases exceeding 30%.",Renewal,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Under this clause, any unapproved leave, regardless of reason, shall result in salary deduction and disciplinary action.",Leave,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Under this clause, the management may terminate the appointee with 15 days notice or payment in lieu thereof.",Termination,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Subject to the terms herein, disputes shall first be addressed through the company's grievance officer within 45 days.",Dispute Resolution,Consumer Agreement,Safe,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"As per the terms of this Agreement, the occupant shall bear all utility charges including any arrears left unpaid by previous occupants.",Utilities,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"For the purposes of this Agreement, the Lessee shall be liable only for damages caused due to negligence, not normal wear and tear.",Damage Liability,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Your total Cost to Company (CTC) is Rs. 6,00,000/- per annum, comprising of Basic Salary, HRA, Special Allowance, PF contribution, and Gratuity as per applicable law.",Compensation,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Disputes Act 1947 / Labour Codes 2020 / Payment of Wages Act 1936,India
"Pursuant to this Agreement, the Bank may hold the collateral for an additional 120 days after repayment for administrative verification.",Collateral,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"It is hereby agreed that the Employee shall not work in any capacity in the same industry, anywhere in India, for 18 months after leaving, with no compensation for this restriction.",Non-Compete,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, the staff member may raise grievances through the internal committee, which shall respond within 60 days.",Grievance Redressal,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
It is hereby agreed that rent of Rs. 6000/- may be revised by the hostel/PG management with 7 days notice.,Rent Payment,Hostel/PG Agreement,Caution,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"In accordance with this Agreement, the management is under no obligation to respond to or act upon any grievance raised by the staff member.",Grievance Redressal,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Under this clause, the job role and responsibilities of the staff member are as described in Annexure A and shall not be changed without consultation.",Job Role,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Subject to the terms herein, the occupant shall pay a security deposit of Rs. 10000/- which shall be refunded within 7 days of vacating the premises, subject to deduction for damages beyond normal wear and tear.",Security Deposit,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Subject to the terms herein, the Company reserves the right to withdraw the appointment of the Employee at any time before or after joining without reason.",Appointment,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"For the purposes of this Agreement, utility charges shall be shared between the Landlord and the Lessee in a ratio to be determined at move-in.",Utilities,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Subject to the terms herein, a grace period of 90 days shall be provided before any late payment charge is levied.",Late Payment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the financial institution may reduce or withhold the sanctioned loan amount of Rs. 1500000/- at any time without explanation.",Loan Amount,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
"For the purposes of this Agreement, either party may terminate this Agreement by giving 90 days written notice to the other party.",Notice Period,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Under this clause, the Employer may terminate the Employee with 7 days notice or payment in lieu thereof.",Termination,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
Late payment beyond 7 days shall attract a charge of 10% per month on the overdue amount.,Late Payment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
Any matter concerning force majeure shall be documented in writing. Clause 346.,Force Majeure,Loan Agreement,Safe,"Indian Contract Act, 1872",India
It is hereby agreed that the management may terminate the Employee with 20 days notice or payment in lieu thereof.,Termination,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Subject to the terms herein, the applicable interest rate shall be 8% per annum, fixed for the tenure of the loan.",Interest Rate,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
Mess charges of Rs. 3000/- per month shall be billed separately and are optional.,Mess Charges,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
It is hereby agreed that the Tenant shall forfeit the entire security deposit of Rs. 20000/- if the premises are vacated before the 12-month lock-in period.,Lock-in Period,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
Cross-default clause: default in any other loan with this lender shall be deemed as default in this loan.,Cross Default,Loan Agreement,Caution,RBI Guidelines / Consumer Protection Act 2019 / SARFAESI Act 2002 / Indian Contract Act 1872,India
"Pursuant to this Agreement, confidentiality obligations of the staff member shall survive termination for a period of 18 months.",Confidentiality,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
The Borrower may request changes concerning lender rights subject to approval. Clause 413.,Lender Rights,Loan Agreement,Caution,"Indian Contract Act, 1872",India
"Under this clause, the Employee shall be entitled to 10 days of paid leave per year, as per applicable labour law.",Leave,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Under this clause, rent of Rs. 35000/- may be revised by the hostel/PG management with 10 days notice.",Rent Payment,Hostel/PG Agreement,Caution,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Subject to the terms herein, cancellation after 20 days shall attract a fee of 2% of the order value.",Cancellation,Consumer Agreement,Caution,Consumer Protection Act 2019 / Consumer Protection (E-Commerce) Rules 2020,India
"For the purposes of this Agreement, a refundable security deposit of Rs. 60000/- shall be collected and returned within 30 days of vacating.",Security Deposit,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"Pursuant to this Agreement, the Employee shall be entitled to 18 days of paid leave per year, as per applicable labour law.",Leave,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"For the purposes of this Agreement, the notice period for termination shall be 60 days, extendable at the discretion of the Landlord.",Notice Period,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"It is hereby agreed that the Employer may unilaterally reassign the Employee to any role, location, or department without consent.",Job Role,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"For the purposes of this Agreement, salary of Rs. 18000/- is subject to annual review and may be revised at the discretion of the Company.",Salary,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
Repayment terms of 24 months are subject to change by the Bank with reasonable notice.,Repayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Subject to the terms herein, the Tenant shall not sublet the premises without the prior written consent of the Landlord.",Subletting,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"For the purposes of this Agreement, the staff member shall not work in any capacity in the same industry, anywhere in India, for 9 months after leaving, with no compensation for this restriction.",Non-Compete,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Under this clause, the Bank may hold the collateral for an additional 90 days after repayment for administrative verification.",Collateral,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the notice period for termination shall be 45 days, extendable at the discretion of the Lessor.",Notice Period,Rental Agreement,Caution,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
The Employee shall cooperate in matters concerning posh compliance. Clause 223.,POSH Compliance,Employment Agreement,Safe,"POSH Act, 2013",India
"Subject to the terms herein, the Lessor reserves the right to increase the rent at any time without prior notice to the Lessee.",Rent Payment,Rental Agreement,Risky,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"Under this clause, the Company may revise the code of conduct from time to time and the Employee shall be bound by such revisions.",Code of Conduct,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"As per the terms of this Agreement, mess charges of Rs. 3000/- per month shall be billed separately and are optional.",Mess Charges,Hostel/PG Agreement,Safe,Indian Contract Act 1872 / State PG & Hostel Regulations,India
"For the purposes of this Agreement, the collateral pledged shall be released within 90 days of full repayment of the loan.",Collateral,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"Prepayment shall attract a penalty of 1.5% of the original loan amount, regardless of tenure remaining.",Prepayment,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
"As per the terms of this Agreement, the appointee shall not work in any capacity in the same industry, anywhere in India, for 9 months after leaving, with no compensation for this restriction.",Non-Compete,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Subject to the terms herein, rent of Rs. 8000/- may be revised by the hostel/PG management with 60 days notice.",Rent Payment,Hostel/PG Agreement,Caution,Indian Contract Act 1872 / State PG & Hostel Regulations,India
It is hereby agreed that the Bank agrees to disburse a loan amount of Rs. 50000/- to the Borrower as per the agreed schedule.,Loan Amount,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
It is hereby agreed that the loan recipient shall repay the loan in equal monthly instalments over 6 months as per the agreed schedule.,Repayment,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
It is hereby agreed that eMI amount may be recalculated by the Bank if the interest rate changes during the tenure.,EMI,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Under this clause, a lock-in period of 36 months shall apply, during which neither party may terminate without mutual consent.",Lock-in Period,Rental Agreement,Safe,Model Tenancy Act 2021 / Transfer of Property Act 1882 / State Rent Control Acts,India
"As per the terms of this Agreement, the financial institution may alter repayment terms, including tenure and amount, without prior notice to the Borrower.",Repayment,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
"Under this clause, the Bank agrees to disburse a loan amount of Rs. 100000/- to the applicant as per the agreed schedule.",Loan Amount,Loan Agreement,Safe,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, the Bank may alter repayment terms, including tenure and amount, without prior notice to the loan recipient.",Repayment,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
"In accordance with this Agreement, the Lender may liquidate the pledged collateral at any time during the loan tenure without notifying the Borrower.",Collateral,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
The tenant shall pay the monthly rent of ₹8000 on or before the 30th day of every month.,Rent Payment,Rental Agreement,Safe,"Indian Contract Act, 1872",India
Any matter concerning force majeure shall be documented in writing. Clause 226.,Force Majeure,Loan Agreement,Safe,"Indian Contract Act, 1872",India
"For the purposes of this Agreement, the Employer is under no obligation to respond to or act upon any grievance raised by the Employee.",Grievance Redressal,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Work product created by the Employee within the scope of employment shall belong to the Employer, as is standard practice.",Intellectual Property,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"For the purposes of this Agreement, the staff member shall be paid a monthly salary of Rs. 20000/- on or before the 7th day of the following month.",Salary,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, the loan amount of Rs. 1500000/- may be disbursed in tranches at the discretion of the financial institution.",Loan Amount,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
"Pursuant to this Agreement, the staff member agrees not to join a direct competitor in the same role for 6 months post-employment within the same city.",Non-Compete,Employment Agreement,Safe,Indian Contract Act 1872 / Industrial Relations Code 2020,India
The probation period of 60 months may be extended by the Company based on performance review.,Probation,Employment Agreement,Caution,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Pursuant to this Agreement, repayment terms of 12 months are subject to change by the Bank with reasonable notice.",Repayment,Loan Agreement,Caution,Indian Contract Act 1872 / RBI Guidelines,India
The Borrower shall comply with all obligations relating to security interest. Clause 349.,Security Interest,Loan Agreement,Safe,"SARFAESI Act, 2002",India
"Under this clause, the management may require the Employee to work unlimited hours without additional compensation.",Working Hours,Employment Agreement,Risky,Indian Contract Act 1872 / Industrial Relations Code 2020,India
"Subject to the terms herein, late payment shall attract a compounding penalty of 1.5% per day with no grace period.",Late Payment,Loan Agreement,Risky,Indian Contract Act 1872 / RBI Guidelines,India
